crooked.com	0
deepleftfield.info	1
antifascistnews.net	2
cnn.com	3
allthatsfab.com	4
dailykos.com	5
deepstatenation.com	6
crooksandliars.com	7
autostraddle.com	8
codepink.org	9
bluedotdaily.com	10
alternet.org	11
mirror.co.uk	12
democracychronicles.org	13
currentaffairs.org	14
bluenationreview.com	15
commondreams.org	16
aidc.org.za	17
addictinginfo.com	18
democracyguardian.com	19
americanprogress.org	20
citypaper.com	21
curvemag.com	22
bluestatedaily.com	23
dailyrecord.co.uk	24
advocate.com	25
americablog.com	26
democracynow.org	27
prwatch.org	28
boingboing.net	29
daily49er.com	30
cosmopolitan.com	31
ebar.com	32
dallasvoice.com	33
dissentmagazine.org	34
democraticunderground.com	35
americanbridgepac.org	36
countercurrents.org	37
thedailybeast.com	38
deadspin.com	39
afj.org	40
desmogblog.com	41
change.org	42
drudge.com	43
bitchmedia.org	44
deadstate.org	45
elitedaily.com	46
au.org	47
counterpunch.org	48
chicagoreader.com	49
blackagendareport.com	50
angrywhitemen.org	51
esquire.com	52
earthfirstjournal.org	53
filmingcops.com	54
crimethinc.com	55
everydayfeminism.com	56
firstpost.com	57
greenleft.org.au	58
citizencritics.org	59
gizmodo.com	60
marxist.com	61
bust.com	62
egbertowillies.com	63
evonomics.com	64
foreignpolicyjournal.com	65
iowastartingline.com	66
greenvillegazette.com	67
leftfootforward.org	68
ir.net	69
extranewsfeed.com	70
foreignpolicynews.org	71
canadiandimension.com	72
itsgoingdown.org	73
globalvoices.org	74
electoral-vote.com	75
leftoverrights.com	76
inequalitymedia.org	77
feministcurrent.com	78
liberalamerica.org	79
jacobinmag.com	80
electronicintifada.net	81
guardianlv.com	82
juancole.com	83
dailydot.com	84
liberalexaminer.com	85
jezebel.com	86
good.is	87
freepress.org	88
theguardiansofdemocracy.com	89
feministing.com	90
ips-dc.org	91
samuel-warde.com	92
mediaite.com	93
frnewsreport.com	94
leftvoice.org	95
fifthestate.org	96
mondoweiss.net	97
liberationnews.org	98
lavendermagazine.com	99
freedomnews.org.uk	100
moonofalabama.org	101
mediamatters.org	102
huffingtonpost.com	103
gq.com	104
newint.org	105
littlegreenfootballs.com	106
inthesetimes.com	107
hrc.org	108
lgbtqnation.com	109
motherjones.com	110
bradford-delong.com	111
meduza.io	112
newpol.org	113
pinknews.co.uk	114
newsweek.com	115
progressiveliberal.net	116
front.moveon.org	117
libcom.org	118
newrepublic.com	119
merryjane.com	120
politicaldig.com	121
north99.org	122
mashable.com	123
msmagazine.com	124
palmerreport.com	125
miaminewtimes.com	126
resilience.org	127
projectcensored.org	128
rawstory.com	129
meanlefthook.com	130
msnbc.com	131
newstatesman.com	132
pastemagazine.com	133
proudemocrat.com	134
